id,ap_id,latitude,longitude,timestamp
89,2299,27.693429,85.313845,2019-07-01 00:07:10.000000
90,2299,27.697959,85.313395,2019-07-01 00:07:31.000000
91,2299,27.697761,85.313489,2019-01-07 00:07:32.615384
92,2299,27.697172,85.313714,2019-01-07 00:07:34.230769
93,2299,27.696737,85.313792,2019-01-07 00:07:35.846153
94,2299,27.694872,85.314059,2019-01-07 00:07:37.461538
95,2299,27.694198,85.314139,2019-01-07 00:07:39.076923
96,2299,27.694029,85.314187,2019-01-07 00:07:40.692307
97,2299,27.693952,85.314233,2019-01-07 00:07:42.307692
98,2299,27.693887,85.314309,2019-01-07 00:07:43.923076
99,2299,27.693796,85.314324,2019-01-07 00:07:45.538461
100,2299,27.693752,85.314307,2019-01-07 00:07:47.153846
101,2299,27.693688,85.314228,2019-01-07 00:07:48.769230
102,2299,27.693677,85.314176,2019-01-07 00:07:50.384615
103,2299,27.693429,85.313845,2019-07-01 00:07:31.000000
104,2299,27.69369,85.314093,2019-07-01 00:07:52.000000
105,2299,27.693741,85.314027,2019-01-07 00:08:01.250000
106,2299,27.693781,85.31394,2019-01-07 00:08:10.500000
107,2299,27.693882,85.313677,2019-01-07 00:08:19.750000
108,2299,27.694102,85.312739,2019-01-07 00:08:29.000000
109,2299,27.694292,85.312107,2019-01-07 00:08:38.250000
110,2299,27.694977,85.310306,2019-01-07 00:08:47.500000
111,2299,27.695523,85.309035,2019-01-07 00:08:56.750000
112,2299,27.693429,85.313845,2019-07-01 00:07:52.000000
113,2299,27.695688,85.30826,2019-07-01 00:08:10.000000
114,2299,27.695862,85.308242,2019-07-01 00:09:06.000000
115,2299,27.696056,85.307723,2019-01-07 00:09:06.904761
116,2299,27.696353,85.306606,2019-01-07 00:09:07.809523
117,2299,27.696572,85.305846,2019-01-07 00:09:08.714285
118,2299,27.696687,85.305568,2019-01-07 00:09:09.619047
119,2299,27.697254,85.304578,2019-01-07 00:09:10.523809
120,2299,27.697712,85.303707,2019-01-07 00:09:11.428571
121,2299,27.697837,85.30338,2019-01-07 00:09:12.333333
122,2299,27.697953,85.302854,2019-01-07 00:09:13.238095
123,2299,27.698202,85.302944,2019-01-07 00:09:14.142857
124,2299,27.698661,85.303068,2019-01-07 00:09:15.047619
125,2299,27.699935,85.303056,2019-01-07 00:09:15.952380
126,2299,27.700721,85.302937,2019-01-07 00:09:16.857142
127,2299,27.701381,85.302868,2019-01-07 00:09:17.761904
128,2299,27.701632,85.302827,2019-01-07 00:09:18.666666
129,2299,27.701891,85.302744,2019-01-07 00:09:19.571428
130,2299,27.70159,85.301947,2019-01-07 00:09:20.476190
131,2299,27.701578,85.301883,2019-01-07 00:09:21.380952
132,2299,27.701819,85.301832,2019-01-07 00:09:22.285714
133,2299,27.70239,85.301865,2019-01-07 00:09:23.190476
134,2299,27.702558,85.301854,2019-01-07 00:09:24.095238
135,2299,27.695688,85.30826,2019-07-01 00:09:06.000000
136,2299,27.702686,85.301871,2019-07-01 00:09:25.000000
137,2299,27.702858,85.301858,2019-01-07 00:09:25.904761
138,2299,27.703162,85.301782,2019-01-07 00:09:26.809523
139,2299,27.703872,85.30166,2019-01-07 00:09:27.714285
140,2299,27.704197,85.301629,2019-01-07 00:09:28.619047
141,2299,27.704821,85.301608,2019-01-07 00:09:29.523809
142,2299,27.705242,85.301615,2019-01-07 00:09:30.428571
143,2299,27.706066,85.301741,2019-01-07 00:09:31.333333
144,2299,27.706933,85.301837,2019-01-07 00:09:32.238095
145,2299,27.707633,85.302103,2019-01-07 00:09:33.142857
146,2299,27.70784,85.302167,2019-01-07 00:09:34.047619
147,2299,27.708457,85.302307,2019-01-07 00:09:34.952380
148,2299,27.708874,85.302371,2019-01-07 00:09:35.857142
149,2299,27.708818,85.302894,2019-01-07 00:09:36.761904
150,2299,27.708795,85.30299,2019-01-07 00:09:37.666666
151,2299,27.709135,85.303082,2019-01-07 00:09:38.571428
152,2299,27.709411,85.303186,2019-01-07 00:09:39.476190
153,2299,27.709677,85.303209,2019-01-07 00:09:40.380952
154,2299,27.709828,85.30319,2019-01-07 00:09:41.285714
155,2299,27.710425,85.302944,2019-01-07 00:09:42.190476
156,2299,27.710655,85.302902,2019-01-07 00:09:43.095238
157,2299,27.702998,85.301746,2019-07-01 00:09:25.000000
158,2299,27.7114,85.302718,2019-07-01 00:09:44.000000
159,2299,27.712408,85.302554,2019-01-07 00:09:46.095238
160,2299,27.712574,85.30254,2019-01-07 00:09:48.190476
161,2299,27.713405,85.302583,2019-01-07 00:09:50.285714
162,2299,27.713726,85.302721,2019-01-07 00:09:52.380952
163,2299,27.713705,85.302516,2019-01-07 00:09:54.476190
164,2299,27.713648,85.301825,2019-01-07 00:09:56.571428
165,2299,27.713643,85.301442,2019-01-07 00:09:58.666666
166,2299,27.713666,85.301125,2019-01-07 00:10:00.761904
167,2299,27.713632,85.301073,2019-01-07 00:10:02.857142
168,2299,27.713209,85.30083,2019-01-07 00:10:04.952380
169,2299,27.712633,85.300722,2019-01-07 00:10:07.047619
170,2299,27.712616,85.300708,2019-01-07 00:10:09.142857
171,2299,27.712601,85.300644,2019-01-07 00:10:11.238095
172,2299,27.712627,85.300383,2019-01-07 00:10:13.333333
173,2299,27.712656,85.300216,2019-01-07 00:10:15.428571
174,2299,27.712677,85.300183,2019-01-07 00:10:17.523809
175,2299,27.713086,85.300129,2019-01-07 00:10:19.619047
176,2299,27.713198,85.300072,2019-01-07 00:10:21.714285
177,2299,27.713293,85.3,2019-01-07 00:10:23.809523
178,2299,27.713407,85.29987,2019-01-07 00:10:25.904761
179,2299,27.713554,85.302479,2019-07-01 00:09:44.000000
180,2299,27.713653,85.29976,2019-07-01 00:10:28.000000
181,2299,27.713694,85.299714,2019-01-07 00:10:29.000000
182,2299,27.7137,85.299646,2019-01-07 00:10:30.000000
183,2299,27.713503,85.298925,2019-01-07 00:10:31.000000
184,2299,27.713491,85.298503,2019-01-07 00:10:32.000000
185,2299,27.713537,85.298035,2019-01-07 00:10:33.000000
186,2299,27.713658,85.297476,2019-01-07 00:10:34.000000
187,2299,27.713755,85.296941,2019-01-07 00:10:35.000000
188,2299,27.71379,85.296826,2019-01-07 00:10:36.000000
189,2299,27.713836,85.296742,2019-01-07 00:10:37.000000
190,2299,27.713898,85.296679,2019-01-07 00:10:38.000000
191,2299,27.714068,85.296558,2019-01-07 00:10:39.000000
192,2299,27.714136,85.296486,2019-01-07 00:10:40.000000
193,2299,27.714177,85.296393,2019-01-07 00:10:41.000000
194,2299,27.714233,85.295815,2019-01-07 00:10:42.000000
195,2299,27.714342,85.293497,2019-01-07 00:10:43.000000
196,2299,27.714359,85.293407,2019-01-07 00:10:44.000000
197,2299,27.71415,85.293285,2019-01-07 00:10:45.000000
198,2299,27.714002,85.293158,2019-01-07 00:10:46.000000
199,2299,27.713469,85.298376,2019-07-01 00:10:28.000000
200,2299,27.713902,85.293049,2019-07-01 00:10:47.000000
201,2299,27.713836,85.292933,2019-01-07 00:10:47.833333
